DateKey,Date,Day,DaySuffix,Weekday,WeekDayName,WeekDayName_Short,WeekDayName_FirstLetter,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,Month,MonthName,MonthName_Short,MonthName_FirstLetter,Quarter,QuarterName,Year,MMYYYY,MonthYear,IsWeekend
20000901,2000-09-01,1,st,6,Friday,FRI,F,1,245,1,36,9,September,SEP,S,3,third,2000,92000,2000SEP,0
20000730,2000-07-30,30,th,1,Sunday,SUN,S,30,212,6,32,7,July,JUL,J,3,third,2000,72000,2000JUL,1
20011227,2001-12-27,27,th,5,Thursday,THU,T,27,361,5,52,12,December,DEC,D,4,fourth,2001,122001,2001DEC,0
20040308,2004-03-08,8,th,2,Monday,MON,M,8,68,2,11,3,March,MAR,M,1,First,2004,32004,2004MAR,0
20021026,2002-10-26,26,th,7,Saturday,SAT,S,26,299,4,43,10,October,OCT,O,4,fourth,2002,102002,2002OCT,1
20021109,2002-11-09,9,th,7,Saturday,SAT,S,9,313,2,45,11,November,NOV,N,4,fourth,2002,112002,2002NOV,1
20040406,2004-04-06,6,th,3,Tuesday,TUE,T,6,97,2,15,4,April,APR,A,2,second,2004,42004,2004APR,0
20041118,2004-11-18,18,th,5,Thursday,THU,T,18,323,3,47,11,November,NOV,N,4,fourth,2004,112004,2004NOV,0
20041124,2004-11-24,24,th,4,Wednesday,WED,W,24,329,4,48,11,November,NOV,N,4,fourth,2004,112004,2004NOV,0
20050803,2005-08-03,3,rd,4,Wednesday,WED,W,3,215,1,32,8,August,AUG,A,3,third,2005,82005,2005AUG,0
20050527,2005-05-27,27,th,6,Friday,FRI,F,27,147,4,22,5,May,MAY,M,2,second,2005,52005,2005MAY,0
20050824,2005-08-24,24,th,4,Wednesday,WED,W,24,236,4,35,8,August,AUG,A,3,third,2005,82005,2005AUG,0
20070508,2007-05-08,8,th,3,Tuesday,TUE,T,8,128,2,19,5,May,MAY,M,2,second,2007,52007,2007MAY,0
20080401,2008-04-01,1,st,3,Tuesday,TUE,T,1,92,1,14,4,April,APR,A,2,second,2008,42008,2008APR,0
20071128,2007-11-28,28,th,4,Wednesday,WED,W,28,332,5,48,11,November,NOV,N,4,fourth,2007,112007,2007NOV,0
20090729,2009-07-29,29,th,4,Wednesday,WED,W,29,210,5,31,7,July,JUL,J,3,third,2009,72009,2009JUL,0
20080519,2008-05-19,19,th,2,Monday,MON,M,19,140,4,21,5,May,MAY,M,2,second,2008,52008,2008MAY,0
20071014,2007-10-14,14,th,1,Sunday,SUN,S,14,287,3,42,10,October,OCT,O,4,fourth,2007,102007,2007OCT,1
20111119,2011-11-19,19,th,7,Saturday,SAT,S,19,323,3,47,11,November,NOV,N,4,fourth,2011,112011,2011NOV,1
20130116,2013-01-16,16,th,4,Wednesday,WED,W,16,16,3,3,1,January,JAN,J,1,First,2013,12013,2013JAN,0
20101228,2010-12-28,28,th,3,Tuesday,TUE,T,28,362,5,53,12,December,DEC,D,4,fourth,2010,122010,2010DEC,0
20140223,2014-02-23,23,rd,1,Sunday,SUN,S,23,54,5,9,2,February,FEB,F,1,First,2014,22014,2014FEB,1
20130726,2013-07-26,26,th,6,Friday,FRI,F,26,207,4,30,7,July,JUL,J,3,third,2013,72013,2013JUL,0
20151017,2015-10-17,17,th,7,Saturday,SAT,S,17,290,3,42,10,October,OCT,O,4,fourth,2015,102015,2015OCT,1
20130818,2013-08-18,18,th,1,Sunday,SUN,S,18,230,4,34,8,August,AUG,A,3,third,2013,82013,2013AUG,1
20130625,2013-06-25,25,th,3,Tuesday,TUE,T,25,176,5,26,6,June,JUN,J,2,second,2013,62013,2013JUN,0
20160428,2016-04-28,28,th,5,Thursday,THU,T,28,119,5,18,4,April,APR,A,2,second,2016,42016,2016APR,0
20161121,2016-11-21,21,st,2,Monday,MON,M,21,326,4,48,11,November,NOV,N,4,fourth,2016,112016,2016NOV,0
20121222,2012-12-22,22,nd,7,Saturday,SAT,S,22,357,4,51,12,December,DEC,D,4,fourth,2012,122012,2012DEC,1
20150107,2015-01-07,7,th,4,Wednesday,WED,W,7,7,2,2,1,January,JAN,J,1,First,2015,12015,2015JAN,0
20180216,2018-02-16,16,th,6,Friday,FRI,F,16,47,3,7,2,February,FEB,F,1,First,2018,22018,2018FEB,0
20210629,2021-06-29,29,th,3,Tuesday,TUE,T,29,180,5,27,6,June,JUN,J,2,second,2021,62021,2021JUN,0
20160705,2016-07-05,5,th,3,Tuesday,TUE,T,5,187,2,28,7,July,JUL,J,3,third,2016,72016,2016JUL,0
20200309,2020-03-09,9,th,2,Monday,MON,M,9,69,2,11,3,March,MAR,M,1,First,2020,32020,2020MAR,0
20180731,2018-07-31,31,st,3,Tuesday,TUE,T,31,212,5,31,7,July,JUL,J,3,third,2018,72018,2018JUL,0
20150224,2015-02-24,24,th,3,Tuesday,TUE,T,24,55,4,9,2,February,FEB,F,1,First,2015,22015,2015FEB,0
20210916,2021-09-16,16,th,5,Thursday,THU,T,16,259,3,38,9,September,SEP,S,3,third,2021,92021,2021SEP,0
20191229,2019-12-29,29,th,1,Sunday,SUN,S,29,363,5,53,12,December,DEC,D,4,fourth,2019,122019,2019DEC,1
20210915,2021-09-15,15,th,4,Wednesday,WED,W,15,258,3,38,9,September,SEP,S,3,third,2021,92021,2021SEP,0
20200328,2020-03-28,28,th,7,Saturday,SAT,S,28,88,4,13,3,March,MAR,M,1,First,2020,32020,2020MAR,1
20000512,2000-05-12,12,th,6,Friday,FRI,F,12,133,2,20,5,May,MAY,M,2,second,2000,52000,2000MAY,0
20230216,2023-02-16,16,th,5,Thursday,THU,T,16,47,3,7,2,February,FEB,F,1,First,2023,22023,2023FEB,0
20020206,2002-02-06,6,th,4,Wednesday,WED,W,6,37,2,6,2,February,FEB,F,1,First,2002,22002,2002FEB,0
20000401,2000-04-01,1,st,7,Saturday,SAT,S,1,92,1,14,4,April,APR,A,2,second,2000,42000,2000APR,1
20030628,2003-06-28,28,th,7,Saturday,SAT,S,28,179,4,26,6,June,JUN,J,2,second,2003,62003,2003JUN,1
20011029,2001-10-29,29,th,2,Monday,MON,M,29,302,5,44,10,October,OCT,O,4,fourth,2001,102001,2001OCT,0
20031001,2003-10-01,1,st,4,Wednesday,WED,W,1,274,1,40,10,October,OCT,O,4,fourth,2003,102003,2003OCT,0
20070418,2007-04-18,18,th,4,Wednesday,WED,W,18,108,3,16,4,April,APR,A,2,second,2007,42007,2007APR,0
20060921,2006-09-21,21,st,5,Thursday,THU,T,21,264,4,38,9,September,SEP,S,3,third,2006,92006,2006SEP,0
20081228,2008-12-28,28,th,1,Sunday,SUN,S,28,363,5,53,12,December,DEC,D,4,fourth,2008,122008,2008DEC,1
20100801,2010-08-01,1,st,1,Sunday,SUN,S,1,213,1,32,8,August,AUG,A,3,third,2010,82010,2010AUG,1
20130320,2013-03-20,20,th,4,Wednesday,WED,W,20,79,4,12,3,March,MAR,M,1,First,2013,32013,2013MAR,0
20090709,2009-07-09,9,th,5,Thursday,THU,T,9,190,2,28,7,July,JUL,J,3,third,2009,72009,2009JUL,0
20150516,2015-05-16,16,th,7,Saturday,SAT,S,16,136,3,20,5,May,MAY,M,2,second,2015,52015,2015MAY,1
20170330,2017-03-30,30,th,5,Thursday,THU,T,30,89,5,13,3,March,MAR,M,1,First,2017,32017,2017MAR,0
20140110,2014-01-10,10,th,6,Friday,FRI,F,10,10,2,2,1,January,JAN,J,1,First,2014,12014,2014JAN,0
20210515,2021-05-15,15,th,7,Saturday,SAT,S,15,135,3,20,5,May,MAY,M,2,second,2021,52021,2021MAY,1
20150606,2015-06-06,6,th,7,Saturday,SAT,S,6,157,1,23,6,June,JUN,J,2,second,2015,62015,2015JUN,1
20241205,2024-12-05,5,th,5,Thursday,THU,T,5,340,1,49,12,December,DEC,D,4,fourth,2024,122024,2024DEC,0
20000330,2000-03-30,30,th,5,Thursday,THU,T,30,90,5,14,3,March,MAR,M,1,First,2000,32000,2000MAR,0
20000720,2000-07-20,20,th,5,Thursday,THU,T,20,202,4,30,7,July,JUL,J,3,third,2000,72000,2000JUL,0
20010331,2001-03-31,31,st,7,Saturday,SAT,S,31,90,5,13,3,March,MAR,M,1,First,2001,32001,2001MAR,1
20011230,2001-12-30,30,th,1,Sunday,SUN,S,30,364,6,53,12,December,DEC,D,4,fourth,2001,122001,2001DEC,1
20020712,2002-07-12,12,th,6,Friday,FRI,F,12,193,2,28,7,July,JUL,J,3,third,2002,72002,2002JUL,0
20030627,2003-06-27,27,th,6,Friday,FRI,F,27,178,4,26,6,June,JUN,J,2,second,2003,62003,2003JUN,0
20040523,2004-05-23,23,rd,1,Sunday,SUN,S,23,144,5,22,5,May,MAY,M,2,second,2004,52004,2004MAY,1
20031128,2003-11-28,28,th,6,Friday,FRI,F,28,332,5,48,11,November,NOV,N,4,fourth,2003,112003,2003NOV,0
20031010,2003-10-10,10,th,6,Friday,FRI,F,10,283,2,41,10,October,OCT,O,4,fourth,2003,102003,2003OCT,0
20040905,2004-09-05,5,th,1,Sunday,SUN,S,5,249,2,37,9,September,SEP,S,3,third,2004,92004,2004SEP,1
20040503,2004-05-03,3,rd,2,Monday,MON,M,3,124,2,19,5,May,MAY,M,2,second,2004,52004,2004MAY,0
20050713,2005-07-13,13,th,4,Wednesday,WED,W,13,194,3,29,7,July,JUL,J,3,third,2005,72005,2005JUL,0
20060405,2006-04-05,5,th,4,Wednesday,WED,W,5,95,2,14,4,April,APR,A,2,second,2006,42006,2006APR,0
20050808,2005-08-08,8,th,2,Monday,MON,M,8,220,2,33,8,August,AUG,A,3,third,2005,82005,2005AUG,0
20110709,2011-07-09,9,th,7,Saturday,SAT,S,9,190,2,28,7,July,JUL,J,3,third,2011,72011,2011JUL,1
20071119,2007-11-19,19,th,2,Monday,MON,M,19,323,4,47,11,November,NOV,N,4,fourth,2007,112007,2007NOV,0
20081105,2008-11-05,5,th,4,Wednesday,WED,W,5,310,2,45,11,November,NOV,N,4,fourth,2008,112008,2008NOV,0
20080430,2008-04-30,30,th,4,Wednesday,WED,W,30,121,5,18,4,April,APR,A,2,second,2008,42008,2008APR,0
20070509,2007-05-09,9,th,4,Wednesday,WED,W,9,129,2,19,5,May,MAY,M,2,second,2007,52007,2007MAY,0
20100511,2010-05-11,11,th,3,Tuesday,TUE,T,11,131,3,20,5,May,MAY,M,2,second,2010,52010,2010MAY,0
20110216,2011-02-16,16,th,4,Wednesday,WED,W,16,47,3,8,2,February,FEB,F,1,First,2011,22011,2011FEB,0
20120301,2012-03-01,1,st,5,Thursday,THU,T,1,61,1,9,3,March,MAR,M,1,First,2012,32012,2012MAR,0
20111204,2011-12-04,4,th,1,Sunday,SUN,S,4,338,2,50,12,December,DEC,D,4,fourth,2011,122011,2011DEC,1
20140429,2014-04-29,29,th,3,Tuesday,TUE,T,29,119,5,18,4,April,APR,A,2,second,2014,42014,2014APR,0
20120531,2012-05-31,31,st,5,Thursday,THU,T,31,152,5,22,5,May,MAY,M,2,second,2012,52012,2012MAY,0
20140222,2014-02-22,22,nd,7,Saturday,SAT,S,22,53,4,8,2,February,FEB,F,1,First,2014,22014,2014FEB,1
20170225,2017-02-25,25,th,7,Saturday,SAT,S,25,56,4,8,2,February,FEB,F,1,First,2017,22017,2017FEB,1
20170813,2017-08-13,13,th,1,Sunday,SUN,S,13,225,3,33,8,August,AUG,A,3,third,2017,82017,2017AUG,1
20130410,2013-04-10,10,th,4,Wednesday,WED,W,10,100,2,15,4,April,APR,A,2,second,2013,42013,2013APR,0
20151021,2015-10-21,21,st,4,Wednesday,WED,W,21,294,4,43,10,October,OCT,O,4,fourth,2015,102015,2015OCT,0
20180315,2018-03-15,15,th,5,Thursday,THU,T,15,74,3,11,3,March,MAR,M,1,First,2018,32018,2018MAR,0
20160506,2016-05-06,6,th,6,Friday,FRI,F,6,127,1,19,5,May,MAY,M,2,second,2016,52016,2016MAY,0
20180701,2018-07-01,1,st,1,Sunday,SUN,S,1,182,1,27,7,July,JUL,J,3,third,2018,72018,2018JUL,1
20161025,2016-10-25,25,th,3,Tuesday,TUE,T,25,299,5,44,10,October,OCT,O,4,fourth,2016,102016,2016OCT,0
20181017,2018-10-17,17,th,4,Wednesday,WED,W,17,290,3,42,10,October,OCT,O,4,fourth,2018,102018,2018OCT,0
20180617,2018-06-17,17,th,1,Sunday,SUN,S,17,168,4,25,6,June,JUN,J,2,second,2018,62018,2018JUN,1
20180827,2018-08-27,27,th,2,Monday,MON,M,27,239,5,35,8,August,AUG,A,3,third,2018,82018,2018AUG,0
20190616,2019-06-16,16,th,1,Sunday,SUN,S,16,167,4,25,6,June,JUN,J,2,second,2019,62019,2019JUN,1
20201126,2020-11-26,26,th,5,Thursday,THU,T,26,331,4,48,11,November,NOV,N,4,fourth,2020,112020,2020NOV,0
20230909,2023-09-09,9,th,7,Saturday,SAT,S,9,252,2,36,9,September,SEP,S,3,third,2023,92023,2023SEP,1
20230205,2023-02-05,5,th,1,Sunday,SUN,S,5,36,2,6,2,February,FEB,F,1,First,2023,22023,2023FEB,1
20001126,2000-11-26,26,th,1,Sunday,SUN,S,26,331,5,49,11,November,NOV,N,4,fourth,2000,112000,2000NOV,1
20240225,2024-02-25,25,th,1,Sunday,SUN,S,25,56,5,9,2,February,FEB,F,1,First,2024,22024,2024FEB,1
20020720,2002-07-20,20,th,7,Saturday,SAT,S,20,201,3,29,7,July,JUL,J,3,third,2002,72002,2002JUL,1
20010202,2001-02-02,2,nd,6,Friday,FRI,F,2,33,1,5,2,February,FEB,F,1,First,2001,22001,2001FEB,0
20020124,2002-01-24,24,th,5,Thursday,THU,T,24,24,4,4,1,January,JAN,J,1,First,2002,12002,2002JAN,0
20021107,2002-11-07,7,th,5,Thursday,THU,T,7,311,2,45,11,November,NOV,N,4,fourth,2002,112002,2002NOV,0
20250308,2025-03-08,8,th,7,Saturday,SAT,S,8,67,2,10,3,March,MAR,M,1,First,2025,32025,2025MAR,1
20070126,2007-01-26,26,th,6,Friday,FRI,F,26,26,4,4,1,January,JAN,J,1,First,2007,12007,2007JAN,0
20080724,2008-07-24,24,th,5,Thursday,THU,T,24,206,4,30,7,July,JUL,J,3,third,2008,72008,2008JUL,0
20110502,2011-05-02,2,nd,2,Monday,MON,M,2,122,1,19,5,May,MAY,M,2,second,2011,52011,2011MAY,0
20101203,2010-12-03,3,rd,6,Friday,FRI,F,3,337,1,49,12,December,DEC,D,4,fourth,2010,122010,2010DEC,0
20120321,2012-03-21,21,st,4,Wednesday,WED,W,21,81,4,12,3,March,MAR,M,1,First,2012,32012,2012MAR,0
20140218,2014-02-18,18,th,3,Tuesday,TUE,T,18,49,4,8,2,February,FEB,F,1,First,2014,22014,2014FEB,0
20110310,2011-03-10,10,th,5,Thursday,THU,T,10,69,2,11,3,March,MAR,M,1,First,2011,32011,2011MAR,0
20160713,2016-07-13,13,th,4,Wednesday,WED,W,13,195,3,29,7,July,JUL,J,3,third,2016,72016,2016JUL,0
20191231,2019-12-31,31,st,3,Tuesday,TUE,T,31,365,5,53,12,December,DEC,D,4,fourth,2019,122019,2019DEC,0
20150302,2015-03-02,2,nd,2,Monday,MON,M,2,61,1,10,3,March,MAR,M,1,First,2015,32015,2015MAR,0
20220420,2022-04-20,20,th,4,Wednesday,WED,W,20,110,4,17,4,April,APR,A,2,second,2022,42022,2022APR,0
20020626,2002-06-26,26,th,4,Wednesday,WED,W,26,177,5,26,6,June,JUN,J,2,second,2002,62002,2002JUN,0
20000222,2000-02-22,22,nd,3,Tuesday,TUE,T,22,53,4,9,2,February,FEB,F,1,First,2000,22000,2000FEB,0
20000714,2000-07-14,14,th,6,Friday,FRI,F,14,196,3,29,7,July,JUL,J,3,third,2000,72000,2000JUL,0
20010317,2001-03-17,17,th,7,Saturday,SAT,S,17,76,3,11,3,March,MAR,M,1,First,2001,32001,2001MAR,1
20010411,2001-04-11,11,th,4,Wednesday,WED,W,11,101,2,15,4,April,APR,A,2,second,2001,42001,2001APR,0
20010714,2001-07-14,14,th,7,Saturday,SAT,S,14,195,2,28,7,July,JUL,J,3,third,2001,72001,2001JUL,1
20041003,2004-10-03,3,rd,1,Sunday,SUN,S,3,277,2,41,10,October,OCT,O,4,fourth,2004,102004,2004OCT,1
20030217,2003-02-17,17,th,2,Monday,MON,M,17,48,4,8,2,February,FEB,F,1,First,2003,22003,2003FEB,0
20030324,2003-03-24,24,th,2,Monday,MON,M,24,83,5,13,3,March,MAR,M,1,First,2003,32003,2003MAR,0
20060130,2006-01-30,30,th,2,Monday,MON,M,30,30,5,5,1,January,JAN,J,1,First,2006,12006,2006JAN,0
20070423,2007-04-23,23,rd,2,Monday,MON,M,23,113,4,17,4,April,APR,A,2,second,2007,42007,2007APR,0
20040611,2004-06-11,11,th,6,Friday,FRI,F,11,163,2,24,6,June,JUN,J,2,second,2004,62004,2004JUN,0
20050119,2005-01-19,19,th,4,Wednesday,WED,W,19,19,4,4,1,January,JAN,J,1,First,2005,12005,2005JAN,0
20060421,2006-04-21,21,st,6,Friday,FRI,F,21,111,4,16,4,April,APR,A,2,second,2006,42006,2006APR,0
20070512,2007-05-12,12,th,7,Saturday,SAT,S,12,132,2,19,5,May,MAY,M,2,second,2007,52007,2007MAY,1
20080313,2008-03-13,13,th,5,Thursday,THU,T,13,73,3,11,3,March,MAR,M,1,First,2008,32008,2008MAR,0
20070727,2007-07-27,27,th,6,Friday,FRI,F,27,208,4,30,7,July,JUL,J,3,third,2007,72007,2007JUL,0
20080903,2008-09-03,3,rd,4,Wednesday,WED,W,3,247,1,36,9,September,SEP,S,3,third,2008,92008,2008SEP,0
20080212,2008-02-12,12,th,3,Tuesday,TUE,T,12,43,3,7,2,February,FEB,F,1,First,2008,22008,2008FEB,0
20110129,2011-01-29,29,th,7,Saturday,SAT,S,29,29,5,5,1,January,JAN,J,1,First,2011,12011,2011JAN,1
20110202,2011-02-02,2,nd,4,Wednesday,WED,W,2,33,1,6,2,February,FEB,F,1,First,2011,22011,2011FEB,0
20111210,2011-12-10,10,th,7,Saturday,SAT,S,10,344,2,50,12,December,DEC,D,4,fourth,2011,122011,2011DEC,1
20111017,2011-10-17,17,th,2,Monday,MON,M,17,290,4,43,10,October,OCT,O,4,fourth,2011,102011,2011OCT,0
20101013,2010-10-13,13,th,4,Wednesday,WED,W,13,286,3,42,10,October,OCT,O,4,fourth,2010,102010,2010OCT,0
20091020,2009-10-20,20,th,3,Tuesday,TUE,T,20,293,4,43,10,October,OCT,O,4,fourth,2009,102009,2009OCT,0
20150628,2015-06-28,28,th,1,Sunday,SUN,S,28,179,5,27,6,June,JUN,J,2,second,2015,62015,2015JUN,1
20141130,2014-11-30,30,th,1,Sunday,SUN,S,30,334,6,49,11,November,NOV,N,4,fourth,2014,112014,2014NOV,1
20140811,2014-08-11,11,th,2,Monday,MON,M,11,223,3,33,8,August,AUG,A,3,third,2014,82014,2014AUG,0
20180516,2018-05-16,16,th,4,Wednesday,WED,W,16,136,3,20,5,May,MAY,M,2,second,2018,52018,2018MAY,0
20170928,2017-09-28,28,th,5,Thursday,THU,T,28,271,5,39,9,September,SEP,S,3,third,2017,92017,2017SEP,0
20171219,2017-12-19,19,th,3,Tuesday,TUE,T,19,353,4,51,12,December,DEC,D,4,fourth,2017,122017,2017DEC,0
20150422,2015-04-22,22,nd,4,Wednesday,WED,W,22,112,4,17,4,April,APR,A,2,second,2015,42015,2015APR,0
20170610,2017-06-10,10,th,7,Saturday,SAT,S,10,161,2,23,6,June,JUN,J,2,second,2017,62017,2017JUN,1
20180304,2018-03-04,4,th,1,Sunday,SUN,S,4,63,2,10,3,March,MAR,M,1,First,2018,32018,2018MAR,1
20200331,2020-03-31,31,st,3,Tuesday,TUE,T,31,91,5,14,3,March,MAR,M,1,First,2020,32020,2020MAR,0
20151211,2015-12-11,11,th,6,Friday,FRI,F,11,345,2,50,12,December,DEC,D,4,fourth,2015,122015,2015DEC,0
20161003,2016-10-03,3,rd,2,Monday,MON,M,3,277,2,41,10,October,OCT,O,4,fourth,2016,102016,2016OCT,0
20210708,2021-07-08,8,th,5,Thursday,THU,T,8,189,2,28,7,July,JUL,J,3,third,2021,72021,2021JUL,0
20231128,2023-11-28,28,th,3,Tuesday,TUE,T,28,332,5,48,11,November,NOV,N,4,fourth,2023,112023,2023NOV,0
20190108,2019-01-08,8,th,3,Tuesday,TUE,T,8,8,2,2,1,January,JAN,J,1,First,2019,12019,2019JAN,0
20230228,2023-02-28,28,th,3,Tuesday,TUE,T,28,59,5,9,2,February,FEB,F,1,First,2023,22023,2023FEB,0
20211203,2021-12-03,3,rd,6,Friday,FRI,F,3,337,1,49,12,December,DEC,D,4,fourth,2021,122021,2021DEC,0
20230815,2023-08-15,15,th,3,Tuesday,TUE,T,15,227,3,33,8,August,AUG,A,3,third,2023,82023,2023AUG,0
20240920,2024-09-20,20,th,6,Friday,FRI,F,20,264,3,38,9,September,SEP,S,3,third,2024,92024,2024SEP,0
20241016,2024-10-16,16,th,4,Wednesday,WED,W,16,290,3,42,10,October,OCT,O,4,fourth,2024,102024,2024OCT,0
20220622,2022-06-22,22,nd,4,Wednesday,WED,W,22,173,4,26,6,June,JUN,J,2,second,2022,62022,2022JUN,0
20240519,2024-05-19,19,th,1,Sunday,SUN,S,19,140,4,21,5,May,MAY,M,2,second,2024,52024,2024MAY,1
20230925,2023-09-25,25,th,2,Monday,MON,M,25,268,5,39,9,September,SEP,S,3,third,2023,92023,2023SEP,0
20250213,2025-02-13,13,th,5,Thursday,THU,T,13,44,3,7,2,February,FEB,F,1,First,2025,22025,2025FEB,0
20070530,2007-05-30,30,th,4,Wednesday,WED,W,30,150,5,22,5,May,MAY,M,2,second,2007,52007,2007MAY,0
20060101,2006-01-01,1,st,1,Sunday,SUN,S,1,1,1,1,1,January,JAN,J,1,First,2006,12006,2006JAN,1
20080922,2008-09-22,22,nd,2,Monday,MON,M,22,266,4,39,9,September,SEP,S,3,third,2008,92008,2008SEP,0
20130803,2013-08-03,3,rd,7,Saturday,SAT,S,3,215,1,31,8,August,AUG,A,3,third,2013,82013,2013AUG,1
20120216,2012-02-16,16,th,5,Thursday,THU,T,16,47,3,7,2,February,FEB,F,1,First,2012,22012,2012FEB,0
20140602,2014-06-02,2,nd,2,Monday,MON,M,2,153,1,23,6,June,JUN,J,2,second,2014,62014,2014JUN,0
20150702,2015-07-02,2,nd,5,Thursday,THU,T,2,183,1,27,7,July,JUL,J,3,third,2015,72015,2015JUL,0
20121004,2012-10-04,4,th,5,Thursday,THU,T,4,278,1,40,10,October,OCT,O,4,fourth,2012,102012,2012OCT,0
20180515,2018-05-15,15,th,3,Tuesday,TUE,T,15,135,3,20,5,May,MAY,M,2,second,2018,52018,2018MAY,0
20210208,2021-02-08,8,th,2,Monday,MON,M,8,39,2,7,2,February,FEB,F,1,First,2021,22021,2021FEB,0
20180906,2018-09-06,6,th,5,Thursday,THU,T,6,249,2,36,9,September,SEP,S,3,third,2018,92018,2018SEP,0
20230204,2023-02-04,4,th,7,Saturday,SAT,S,4,35,1,5,2,February,FEB,F,1,First,2023,22023,2023FEB,1
20000213,2000-02-13,13,th,1,Sunday,SUN,S,13,44,3,8,2,February,FEB,F,1,First,2000,22000,2000FEB,1
20001007,2000-10-07,7,th,7,Saturday,SAT,S,7,281,1,41,10,October,OCT,O,4,fourth,2000,102000,2000OCT,1
20010319,2001-03-19,19,th,2,Monday,MON,M,19,78,4,12,3,March,MAR,M,1,First,2001,32001,2001MAR,0
20010718,2001-07-18,18,th,4,Wednesday,WED,W,18,199,3,29,7,July,JUL,J,3,third,2001,72001,2001JUL,0
20020207,2002-02-07,7,th,5,Thursday,THU,T,7,38,2,6,2,February,FEB,F,1,First,2002,22002,2002FEB,0
20020313,2002-03-13,13,th,4,Wednesday,WED,W,13,72,3,11,3,March,MAR,M,1,First,2002,32002,2002MAR,0
20030422,2003-04-22,22,nd,3,Tuesday,TUE,T,22,112,4,17,4,April,APR,A,2,second,2003,42003,2003APR,0
20030903,2003-09-03,3,rd,4,Wednesday,WED,W,3,246,1,36,9,September,SEP,S,3,third,2003,92003,2003SEP,0
20040718,2004-07-18,18,th,1,Sunday,SUN,S,18,200,4,30,7,July,JUL,J,3,third,2004,72004,2004JUL,1
20050116,2005-01-16,16,th,1,Sunday,SUN,S,16,16,4,4,1,January,JAN,J,1,First,2005,12005,2005JAN,1
20051122,2005-11-22,22,nd,3,Tuesday,TUE,T,22,326,4,48,11,November,NOV,N,4,fourth,2005,112005,2005NOV,0
20070620,2007-06-20,20,th,4,Wednesday,WED,W,20,171,4,25,6,June,JUN,J,2,second,2007,62007,2007JUN,0
20060323,2006-03-23,23,rd,5,Thursday,THU,T,23,82,4,12,3,March,MAR,M,1,First,2006,32006,2006MAR,0
20060212,2006-02-12,12,th,1,Sunday,SUN,S,12,43,3,7,2,February,FEB,F,1,First,2006,22006,2006FEB,1
20080722,2008-07-22,22,nd,3,Tuesday,TUE,T,22,204,4,30,7,July,JUL,J,3,third,2008,72008,2008JUL,0
20070422,2007-04-22,22,nd,1,Sunday,SUN,S,22,112,4,17,4,April,APR,A,2,second,2007,42007,2007APR,1
20080613,2008-06-13,13,th,6,Friday,FRI,F,13,165,2,24,6,June,JUN,J,2,second,2008,62008,2008JUN,0
20080805,2008-08-05,5,th,3,Tuesday,TUE,T,5,218,2,32,8,August,AUG,A,3,third,2008,82008,2008AUG,0
